%% LaTeX2e file `div_data_2_512x512D8L1.0I0.0.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/17.
%%
a,p,r,g,b,m
25,15.7625,0.717912,0.717912,0.704801,0.713542
25,15.1217,0.705673,0.705673,0.690514,0.70062
25,15.0206,0.703187,0.703187,0.685341,0.697238
25,15.5332,0.720411,0.720411,0.703838,0.714887
25,16.6206,0.746974,0.746974,0.732406,0.742118
25,17.3523,0.761107,0.761107,0.748744,0.756986
25,18.0209,0.775271,0.775271,0.766612,0.772385
20,19.3804,0.821399,0.821399,0.813367,0.818722
20,18.472,0.782993,0.782993,0.771668,0.779218
20,17.9334,0.767699,0.767699,0.756546,0.763981
20,17.4978,0.759255,0.759255,0.746458,0.754989
20,16.8173,0.74406,0.74406,0.730951,0.73969
20,16.1482,0.731238,0.731238,0.71774,0.726739
20,15.6352,0.720081,0.720081,0.705632,0.715265
20,15.5226,0.717257,0.717257,0.700495,0.711669
20,15.9639,0.731836,0.731836,0.715766,0.72648
20,16.8886,0.754626,0.754626,0.739144,0.749465
20,17.5585,0.768274,0.768274,0.75533,0.76396
20,18.5072,0.795302,0.795302,0.788486,0.79303
15,33.5862,0.993029,0.993029,0.990895,0.992318
15,19.0851,0.811075,0.811075,0.80491,0.80902
15,18.2852,0.783972,0.783972,0.775028,0.780991
15,17.7085,0.768531,0.768531,0.756805,0.764622
15,17.0358,0.751782,0.751782,0.738299,0.747288
15,16.5308,0.742772,0.742772,0.729745,0.73843
15,16.1361,0.733671,0.733671,0.718997,0.72878
15,16.0601,0.731781,0.731781,0.716109,0.726557
15,16.4002,0.74262,0.74262,0.726608,0.737283
15,17.0957,0.760201,0.760201,0.744399,0.754934
15,17.7133,0.772099,0.772099,0.758993,0.76773
15,18.6786,0.804287,0.804287,0.795011,0.801195
